Level 1,Level 2 ,Cell Type ,Effect ID,Experiment ID,Term,platform_id,comparison_id,Estimate,-log(FDR),stage,Group Size,Disease Name,fdr
Immune,Innate lymphoid cell,natural killer cell,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,-0.001211066,0.410277827,datasets,19 | 14,atopic,0.388796345
Immune,Macrophage,macrophage,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,0.004719140,1.181644241,datasets,19 | 14,atopic,0.065819679
Immune,Monocyte,monocyte,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,1.050057653e-09,0.019267525,datasets,19 | 14,atopic,0.956604622
Immune,T cell,regulatory T cell,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,0.002238667,2.200296627,datasets,19 | 14,atopic,0.006305265
Immune,T cell,effector memory CD8+ T cell,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,-1.626760444e-08,1.444009164,datasets,19 | 14,atopic,0.035974174
Immune,T cell,CD4+ memory T cell,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,-0.001970904,1.279123369,datasets,19 | 14,atopic,0.052586786
Immune,T cell,resident memory CD8+ T cell,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,5.195897871e-08,1.231076283,datasets,19 | 14,atopic,0.058738617
Immune,T cell,CD8+ T cell,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,3.609862021e-08,0.505870395,datasets,19 | 14,atopic,0.311982048
Immune,T cell,CD4+ T cell,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,0.000409227,0.115846187,datasets,19 | 14,atopic,0.765867804
Stromal,Endothelial cell,capillary endothelial cell,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,0.006106351,1.279123369,datasets,19 | 14,atopic,0.052586786
